region,year,n_countries,n_countries_with_pop,internet_ggi_direct_unweighted,internet_ggi_direct_pop_weighted,internet_ggi_coherent_mean_of_ratios_unweighted,internet_ggi_coherent_mean_of_ratios_pop_weighted,internet_ggi_coherent_ratio_of_means_unweighted,internet_ggi_coherent_ratio_of_means_pop_weighted,mobile_ggi_direct_unweighted,mobile_ggi_direct_pop_weighted,mobile_ggi_coherent_mean_of_ratios_unweighted,mobile_ggi_coherent_mean_of_ratios_pop_weighted,mobile_ggi_coherent_ratio_of_means_unweighted,mobile_ggi_coherent_ratio_of_means_pop_weighted
East Asia & Pacific,2015,37,37,0.8530270270270269,0.8692624779215528,0.910571899369857,0.9088753506608069,0.910571899369857,0.9088753506608069,0.9470540540540542,0.9530596082072884,0.9554981359050497,0.9534813690164677,0.9554981359050497,0.9534813690164677
East Asia & Pacific,2016,37,37,0.8674864864864863,0.8788850862092151,0.921299607304524,0.9155401513552859,0.921299607304524,0.9155401513552859,0.9546486486486487,0.9575198334551254,0.9624950859189993,0.9563771587114378,0.9624950859189993,0.9563771587114378
East Asia & Pacific,2017,37,37,0.8753783783783785,0.8869184003647208,0.9257050064978795,0.9212745947264038,0.9257050064978795,0.9212745947264038,0.9568918918918919,0.959676284613562,0.9634004621533813,0.9583654768163852,0.9634004621533813,0.9583654768163852
East Asia & Pacific,2018,37,37,0.8847567567567569,0.8977956034803036,0.9303355355935846,0.9278536627880088,0.9303355355935846,0.9278536627880088,0.9596216216216217,0.9635482630969634,0.9652583076077695,0.9621702163049516,0.9652583076077695,0.9621702163049516
East Asia & Pacific,2019,37,37,0.9007432432432434,0.9070067457613236,0.9376052165729587,0.9316817754718308,0.9375803291805669,0.9316582572051003,0.9666328828828828,0.9663217309390908,0.9711938434754236,0.9632553145887879,0.9711932869974276,0.9632638114856442
East Asia & Pacific,2020,37,37,0.9125518018018018,0.9138675297565856,0.9451072107835701,0.9368007740621647,0.9450955673525199,0.9367987149441266,0.9712477477477479,0.9687939464254854,0.9732707170334943,0.9649666493742064,0.9732728577187133,0.9649724632350569
East Asia & Pacific,2021,37,37,0.9128378378378378,0.9199502663485604,0.9429536995133776,0.9386944681577017,0.9429398071638023,0.9386862698701824,0.9694211711711712,0.9717493485541571,0.9712465369244969,0.9665260505933927,0.9712542186067376,0.966542381363677
East Asia & Pacific,2022,37,37,0.9200630630630631,0.9215319085979543,0.9459103109692725,0.9426879313819699,0.9459019988312481,0.9426815841928843,0.9713986486486488,0.9705630753705832,0.9720318170779407,0.9667427045830159,0.9720333794028602,0.9667461607919849
East Asia & Pacific,2023,37,37,0.9235112612612614,0.9203880615381684,0.9469449660463711,0.9451270394389129,0.9469531771097811,0.9451254902702472,0.9720202702702704,0.9686590252826658,0.9720121840121012,0.9651144418271662,0.972022874699143,0.9651439803628119
East Asia & Pacific,2024,37,37,0.9356914414414416,0.9336756418576199,0.9516312678745048,0.9466534105068078,0.9516302382163754,0.9466458752876339,0.9781013513513515,0.9759572660774801,0.9764151507613217,0.9683743743537759,0.9764215596691878,0.9683857290428486
East Asia & Pacific,2025,37,0,0.9431058558558558,,0.9546257593037795,,0.9546261594251844,,0.9812184684684684,,0.9788553247308874,,0.9788593774862691,
East Asia & Pacific,2026,37,0,0.9524972972972974,,0.9582726534197327,,0.9582702899461963,,0.9852162162162162,,0.9818806562435999,,0.9818804382684807,
Europe & Central Asia,2015,55,55,0.9048545454545454,0.9116279922836078,0.9542935099263538,0.9542549263613429,0.9542935099263538,0.9542549263613429,0.9711090909090909,0.9746800241304496,0.972150636389516,0.9750246497988241,0.972150636389516,0.9750246497988241
Europe & Central Asia,2016,55,55,0.9153999999999999,0.922593722692897,0.9584768394859196,0.9583429043304175,0.9584768394859196,0.9583429043304175,0.9736909090909089,0.9780596155275358,0.974419281633977,0.9778447588473114,0.974419281633977,0.9778447588473114
Europe & Central Asia,2017,55,55,0.9251454545454545,0.930969822110808,0.9612639790040353,0.9606769505202883,0.9612639790040353,0.9606769505202883,0.9760727272727273,0.9798444361205038,0.9758632125979039,0.9788922727065543,0.9758632125979039,0.9788922727065543
Europe & Central Asia,2018,55,55,0.9355999999999998,0.9407980241400948,0.9646556153303876,0.9637275265905115,0.9646556153303876,0.9637275265905115,0.9787636363636364,0.9821303826059623,0.9783481531038725,0.9821887772349318,0.9783481531038725,0.9821887772349318
Europe & Central Asia,2019,55,55,0.9442075757575757,0.9469610550586086,0.9666614512614056,0.9644890649361808,0.9666420242036824,0.9644711810996924,0.9800378787878787,0.9827140292009917,0.9796971242342759,0.9828983430749016,0.9797033718318198,0.9829002451386878
Europe & Central Asia,2020,55,55,0.9520333333333333,0.9530712310832581,0.9691133811542366,0.9657282716788704,0.969106929107497,0.9657241777359139,0.9813924242424243,0.9826857426538437,0.9809953498710923,0.9827296669609001,0.9809971797873963,0.9827309668807911
Europe & Central Asia,2021,55,55,0.9618348484848483,0.9612920426864615,0.9728971249866655,0.9684326296524335,0.9728946270190882,0.9684315168788381,0.9837681818181819,0.9849863100194322,0.9843500124295372,0.987046528320979,0.9843506817212885,0.9870469137308634
Europe & Central Asia,2022,55,55,0.9661681818181818,0.9664904579093321,0.9755419081560281,0.9717908157106481,0.9755390715148048,0.9717896748040299,0.9848318181818182,0.9860535489935427,0.9856531961962344,0.9880153674498112,0.9856538741581863,0.9880156428154556
Europe & Central Asia,2023,55,55,0.9655212121212121,0.96413150927992,0.9769175570455682,0.9732428234664482,0.9769161965601172,0.9732419798810846,0.9836560606060608,0.9835040402532036,0.9846793224448523,0.9854227079172452,0.9846897666607229,0.9854268355819237
Europe & Central Asia,2024,55,55,0.9711424242424243,0.9735206285193752,0.9785445430351256,0.9771293430417455,0.9785446405333532,0.9771334045549719,0.9853318181818181,0.9868071373655759,0.9865422505210197,0.9885576520006027,0.9865452009590644,0.9885588841759186
Europe & Central Asia,2025,55,0,0.9726272727272727,,0.9810652342924844,,0.98106438356533,,0.9856939393939396,,0.9871811909205597,,0.9871820327296273,
Europe & Central Asia,2026,55,0,0.9754000000000002,,0.9843456201239865,,0.9843452485830463,,0.9867200000000002,,0.9879323831086267,,0.9879324045306392,
Latin America & Caribbean,2015,43,43,0.9075813953488373,0.9078753462618754,0.9527389607838028,0.9643735349828683,0.9527389607838028,0.9643735349828683,0.9817906976744186,0.9822066783071522,0.9860471148523675,0.9855889395842741,0.9860471148523675,0.9855889395842741
Latin America & Caribbean,2016,43,43,0.920046511627907,0.9187564531333536,0.9575178029495602,0.9680577684072151,0.9575178029495602,0.9680577684072151,0.9851627906976743,0.9866762658735018,0.987890495294383,0.9876137325023518,0.987890495294383,0.9876137325023518
Latin America & Caribbean,2017,43,43,0.9306744186046512,0.9301344223339088,0.9610813680017576,0.971064311724649,0.9610813680017576,0.971064311724649,0.9880930232558139,0.9915255882099646,0.9899121240044083,0.9898091672682062,0.9899121240044083,0.9898091672682062
Latin America & Caribbean,2018,43,43,0.9427674418604651,0.9411692004110851,0.9653912113463851,0.9737080594158598,0.9653912113463851,0.9737080594158598,0.9911162790697675,0.9944028976568485,0.9915416323039874,0.9919636589185209,0.9915416323039874,0.9919636589185209
Latin America & Caribbean,2019,43,43,0.9497286821705426,0.9515868168906684,0.9683642792525157,0.976150977696447,0.9683533265639784,0.9761392189398133,0.9918875968992249,0.9949001647284519,0.9921605365295212,0.9936811943603968,0.9921650209487226,0.9936829789198818
Latin America & Caribbean,2020,43,43,0.9620717054263567,0.9623647291445508,0.9716798641854892,0.9789317011365217,0.9716608872048009,0.9789211885533893,0.9938313953488371,0.9957929792654711,0.9939021381663063,0.9954542609664688,0.9939026297561636,0.99545453332419
